FID,HD,PH,PL,TN,GP,SSR,TGW,GL,GW,Y
S238,100,95,18.66,9.6,142.6,95.3716690042076,24.31,6.815,3.407,25.5
S239,114,98.5,16.95,13.2,123.3,80.7785888077859,22.19,7.312,3.141,24.75
S240,114,99.3,17.41,11.9,94.8,88.9240506329114,23.23,7.266,3.135,29
S241,111,127.5,24.16,10.2,147.5,93.8305084745763,24.04,8.39,2.821,17.25
S242,114,116.6,20.23,16.3,140,88.3571428571429,22.64,7.082,3.098,22
S243,113,119.7,21.05,10.5,147,87.1428571428571,24.32,7.169,3.164,18.75
S244,116,110.9,18.98,9.1,111.7,93.19606088,21.16,7.32,3.154,28
S245,120,96,16.8,9.1,151.7,93.6058009228741,27.93,7.626,3.275,26.75
S246,113,104.1,19.84,9.6,181.1,90.6681391496411,24.13,7.498,3.203,29.25
S247,114,108.4,18.78,8.3,162.4,92.795566502463,22.94,7.358,3.112,28.5
S248,113,102.9,19.05,9.4,148.8,91.3978494623656,24.44,7.605,3.129,30.5
S249,99,91.6,17.63,8.4,124.7,75.7818765036087,25.79,6.875,3.45,20.5
S250,119,97.9,17.54,9.1,189.4,88.4371700105597,23.93,7.755,3.276,25.5
S251,116,99,18.2,9.1,121.1,94.5499587118084,22.11,7.726,3.085,27
S252,121,96.4,17.49,9.5,166.2,93.1407942238267,23.97,7.174,3.202,29
S253,124,91.9,16.3,10.2,108.3,91.5974145891043,26.83,7.008,3.415,26.25
S254,119,94.9,18.18,8.5,124.6,80.7383627608347,25.3,7.69,2.908,26.75
S255,115,108.4,19.37,9.9,117.8,92.9541595925297,24.68,8.061,3.244,32
S256,118,96.1,16.32,8.9,138.5,81.7328519855596,20.7,7.403,3.215,30.5
S257,124,99.2,16.4444444444444,10.8,118.4,95.2702702702703,24.73,7.409,3.345,26.75
S258,102,89.4,19.3,9.3,137.9,92.7483683828861,28.52,8.377,3.036,27.5
S259,106,96.1,19.99,10.7,168.7,82.3947836395969,21.77,6.874,3.32,29.75
S260,103,93.8,18.98,8.3,122.1,93.1203931203931,22.44,6.419,3.27,27.75
S261,120,94.8,17.9333333333333,6.5,153.5,93.0293159609121,27.88,9.392,2.835,18
S262,116,92.4,19.53,5.7,137.6,90.625,24.3,7.598,3.094,18.25
S263,112,92.5,15.55,8,114.8,89.808362369338,25.79,6.895,3.272,20
S264,111,88.3,16.32,7.9,112.9,91.496899911426,24.14,8.153,2.833,16
S265,111,85.4,16.45,8.9,160,91.6875,26.94,6.96,3.391,22.75
S266,108,92.8,18.82,6.5,104.8,88.6450381679389,27.43,7.498,3.317,17.75
S267,117,93.9,17.83,10.1,165.1,79.8909751665657,22.61,7.264,3.232,20.5
S268,125,103.4,20.03,7.1,139.1,89.647735442128,25.39,7.659,3.367,19.25
S269,106,98.7,20.88,9.5,191.8,89.051094890511,21.89,6.793,3.3,30.25
S270,119,100.4,17.48,8.1,146.4,92.5546448087432,27.3,7.616,3.372,20
S271,109,98.2,19.97,5.4,125.4,94.1786283891547,24.88,7.225,3.221,22.5
S272,107,102.6,20.79,7.5,113.5,94.5374449339207,25.86,7.661,3.027,19.75
